title,gross
Advance and Be Mechanized,N/A
Advance to the Rear,N/A
Adventure,N/A
Adventure Girl,N/A
Adventure Island,N/A
Adventure in Baltimore,N/A
Adventure in Diamonds,N/A
Adventure in Iraq,N/A
Adventure in Manhattan,N/A
"Adventure of Faustus Bidgood, The",N/A
"Adventure of Sherlock Holmes' Smarter Brother, The",N/A
"Adventure of the Wrong Santa Claus, The",N/A
Adventure's End,N/A
"Adventurers, The",N/A
"Adventurers, The",N/A
Adventures in Babysitting,N/A
Adventures in Dinosaur City,N/A
Adventures in South America,N/A
Adventures in Wild California,N/A
"Adventures of Baron Munchausen, The",N/A
"Adventures of Barry McKenzie, The",N/A
"Adventures of Billy, The",NA
"Adventures of Bob & Doug McKenzie: Strange Brew, The",NA
"Adventures of Buckaroo Banzai Across the 8th Dimension, The",N/A
"Adventures of Bullwhip Griffin, The",N/A
"Adventures of Buttman, The",N/A
Adventures of Captain Fabian,N/A
Adventures of Captain Marvel,N/A
"Adventures of Dick Black the Black Dick, The",N/A
"Adventures of Dollie, The",N/A
Adventures of Don Coyote,NA
Adventures of Don Juan,N/A
"Adventures of Elmo in Grouchland, The",N/A
"Adventures of Ford Fairlane, The",N/A
Adventures of Frank and Jesse James,N/A
Adventures of Frontier Fremont,N/A
Adventures of Gallant Bess,N/A
"Adventures of Gerard, The",N/A
"Adventures of Hajji Baba, The",N/A
"Adventures of Handyman, The",N/A
"Adventures of Huck Finn, The",N/A
"Adventures of Huckleberry Finn, The",N/A
"Adventures of Huckleberry Finn, The",N/A
"Adventures of Ichabod and Mr. Toad, The",N/A
"Adventures of Jane Arden, The",N/A
"Adventures of Lucky Pierre, The",N/A
"Adventures of Marco Polo, The",N/A
"Adventures of Mark Twain, The",N/A
"Adventures of Mark Twain, The",N/A
"Adventures of Martin Eden, The",N/A
"Adventures of Mikki Finn, The",N/A
"Adventures of Pinocchio, The",N/A
"Adventures of Pluto Nash, The","4,366,829"
Adventures of Popeye,N/A
"Adventures of Priscilla, Queen of the Desert, The",N/A
"Adventures of Quentin Durward, The",NA
"Adventures of Ragtime, The",N/A
Adventures of Red Ryder,N/A
"Adventures of Rex and Rinty, The",N/A
"Adventures of Robin Hood, The",N/A
"Adventures of Rocky & Bullwinkle, The","411,840"
"Adventures of Sebastian Cole, The",N/A
"Adventures of Sherlock Holmes, The",N/A
"Adventures of Sir Galahad, The",N/A
Adventures of Smilin' Jack,N/A
"Adventures of Tom Sawyer, The",N/A
Adventures of a Plumber's Mate,N/A
Adventures of a Private Eye,N/A
"Adventures of a Rookie, The",N/A
Adventures of a Taxi Driver,N/A
"Adventures of the American Rabbit, The",N/A
Adventures of the Flying Cadets,N/A
"Adventures of the Masked Phantom, The",N/A
Adventures of the Road-Runner,N/A
"Adventures of the Wilderness Family, The",N/A
"Adventurous Blonde, The",N/A
"Adversaire, L'",NA
Advice From a Caterpillar,N/A
Advice and Dissent,N/A
Advice to the Lovelorn,N/A
Advise and Consent,NA
Advocaat van de Hanen,N/A
Adwa,N/A
Aeg maha,NA
Aelan,N/A
Aelita,N/A
Aenigma,N/A
Aerial Gunner,N/A
Aerobisex Girls,N/A
Aerograd,NA
Aeroplane Flight and Wreck (Piloted by M. Cody),N/A
Aetbaar,N/A
Affair in Havana,N/A
Affair in Reno,N/A
Affair in Trinidad,N/A
"Affair of the Necklace, The",N/A
Affair play,N/A
"Affair to Remember, An",NA
Affair with a Stranger,N/A
Affaire Blum,NA
"Affaire Bronswik, L'",NA
"Affaire Dominici, L'",NA
"Affaire Marcorelle, L'",NA
"Affaire Maurizius, L'",NA
"Affaire coffin, L'",NA
"Affaire des divisions Morituri, L'",NA
"Affaire des poisons, L'",NA
"Affaire du collier de la reine, L'",NA
"Affaire du courrier de Lyon, L'",NA
"Affaire est dans le sac, L'",N/A
"Affaire, L'",N/A
"Affaires publiques, Les",NA
"Affairs of Anatol, The",N/A
"Affairs of Annabel, The",N/A
"Affairs of Cappy Ricks, The",N/A
"Affairs of Cellini, The",N/A
"Affairs of Dobie Gillis, The",N/A
Affairs of Janice,N/A
"Affairs of Martha, The",N/A
"Affairs of Susan, The",N/A
Affairs with Bears,N/A
Affectionately Yours,N/A
Affengeil,N/A
"Affiches en goguette, Les",NA
"Affittacamere, L'",NA
Affittasi appartamento,N/A
Affliction,N/A
Affliction,N/A
Afganistan - The last war bus (L'ultimo bus di guerra),N/A
Afganskiy izlom,NA
Afghan Stories,N/A
"Afgrund af frihed, En",NA
Afgrunden,NA
Afmagt,N/A
Afonya,N/A
Afraid of Everything,N/A
Afraid of the Dark,N/A
Afraid to Dance,N/A
"Afrance, L'",NA
Africa - Texas Style!,N/A
Africa Express,N/A
Africa Express,N/A
Africa Screams,N/A
Africa Speaks,N/A
Africa Speaks -- English,N/A
Africa addio,N/A
Africa ama,NA
Africa dolce e selvaggia,NA
Africa's Elephant Kingdom,N/A
Africa: The Serengeti,N/A
"Africain, L'",N/A
African Diary,N/A
"African Lion, The",N/A
"African Queen, The",N/A
African Timber,N/A
African Treasure,N/A
African-American Idol: The Search for the Next Black Leader,N/A
"Africana, L'",N/A
Afrika,N/A
"Afrique, je te plumerai",N/A
Afrit merati,NA
Afrita hanem,NA
Afro Deutsch,N/A
"Afrodite, dea dell'amore",NA
Afropunk: The 'Rock n Roll Nigger' Experience,NA
Afsane-ye-ah,NA
Afsaneh-e eshgh,NA
Afskedens time,NA
Afsporet,N/A
Afsporet,N/A
Afta,N/A
Aftenland,N/A
Aftenlandet,NA
After,N/A
After Alice,N/A
"After Dark, My Sweet",N/A
After Darkness,N/A
After Death,N/A
After Freedom,N/A
After Grad with Dad,N/A
After Hours,"10,600,000"
After Hours,"10,600,000"
After Image,N/A
After Midnight,N/A
After Midnight,N/A
After Midnight with Boston Blackie,N/A
After Office Hours,N/A
After Party,N/A
After School,N/A
"After School Special, The",N/A
After Sex,N/A
After Stonewall,N/A
After Tonight,N/A
After the Apocalypse,N/A
After the Dance,N/A
After the Rain,N/A
After the Sunset,"28,300,000"
After the Thin Man,N/A
After-School Special,N/A
AfterLife,NA
Afterglow,N/A
Afterlife,NA
"Afterman, The",N/A
Aftermath,N/A
Aftermath,N/A
"Aftermath, The",N/A
Aftermath: The Remnants of War,N/A
Afternoon Delights,N/A
Afternoon of a Champion,NA
Afterschool Delight,N/A
Aftershock,"40,179"
Afti i nihta meni,NA
Afula Express,N/A
Afurika monogatari,NA
Against All Flags,N/A
Against All Odds,N/A
Against a Crooked Sky,N/A
Against the Dying of the Light,N/A
Against the Law,N/A
Against the Ropes,"5,696,752"
Against the Wind,NA
Agantuk,NA
"Agapi einai elefantas, I",NA
Agapi kai aima,NA
"Agapi mas, I",NA
Agapi mou oua-oua...,N/A
Agapi mou paliogria,NA
Agapisa mia polithrona,NA
Agata e la tempesta,N/A
Agatha,N/A
Age Isn't Everything,N/A
Age of Consent,N/A
"Age of Consent, The",N/A
Age of Innocence,N/A
"Age of Innocence, The",N/A
"Age of Innocence, The",N/A
Age to Age,N/A
Agee,N/A
Agency,N/A
Agenda 187,NA
Agent 69 Jensen - I skorpionens tegn,NA
Agent 69 Jensen - I skyttens tegn,NA
Agent Cody Banks,"47,285,499"
Agent Cody Banks 2: Destination London,"23,222,861"
Agent Orange,N/A
Agent Sinikael,NA
Agent for H.A.R.M.,N/A
Agent nr 1,N/A
Agent on Ice,N/A
Agent trouble,N/A
Agente 077 dall'oriente con furore,NA
Agente 077 missione Bloody Mary,NA
"Agente 3S3, massacro al sole",NA
Agente Logan - missione Ypotron,NA
Agente XU 777,N/A
Agents secrets,NA
Agentti 000 ja kuoleman kurvit,N/A
Agenty KGB tozhe vlyublyayutsya,N/A
"Agenzia Riccardo Finzi, praticamente detective",NA
Aggie Appleby Maker of Men,N/A
Agi Murad il diavolo bianco,NA
Agigongryong Doolie,NA
"Agimat, anting-anting ni Lolo, Ang",NA
"Agios Prevezis, O",NA
Agir roman,NA
Agit,N/A
Agneepath,"1,973,574"
Agnes,N/A
Agnes Browne,N/A
Agnes of God,N/A
Agni Nakshatram,N/A
Agni Varsha,NA
Agoniya,NA
"Agony and the Ecstasy, The",N/A
"Agony of Love, The",N/A
Agoria stin porneia,NA
Agostino,N/A
Agostino d'Ippona,NA
Agosto,NA
Agowa gongpo,NA
"Agression, L'",N/A
Agria niata,NA
"Agronomist, The",N/A
"Aguas bajan negras, Las",NA
"Aguas bajan turbias, Las",NA
"Aguirre, der Zorn Gottes",NA
Agujetas en el alma,NA
Ah Fu,NA
Ah Ying,NA
Ah haru,NA
Ah! Afti i gynaika mou,NA
Ah! Kai na'moun adras,NA
Ah! Les belles bacchantes,NA
Ah! Nomugi toge,N/A
"Ah, L'Amour",N/A
"Ah, Pook Is Here",N/A
"Ah, Sweet Mouse-Story of Life",N/A
"Ah, Wilderness!",N/A
Ah-chung,N/A
Ahava Tzeira,NA
Ahlam Hind we Kamilia,N/A
Ahlam Saghira,N/A
Ahora soy rico,N/A
"Ahortagos, O",NA
Ahot Zara,NA
Ai Iran,NA
Ai ching lai le,NA
Ai ni ai wo,NA
"Ai ni tsuite, Tokyo",N/A
Ai no borei,NA
Ai no corrida,NA
Ai no shinsekai,N/A
Ai nu,N/A
Ai o kou hito,N/A
Ai shang wo ba,NA
Ai to heisei no iro - Otoko,NA
Ai to kibo no machi,NA
Ai to nikushimi no kanata e,N/A
Ai xuoi van ly,N/A
Ai zai hei she hui de ri zi,N/A
Ai zhi sha,NA
Ai zuozhan,NA
Ai-Fak,NA
Aida,N/A
Aida degli alberi,NA
Aien kyo,NA
Aiki,N/A
"Aile ou la cuisse, L'",NA
Aileen Wuornos: The Selling of a Serial Killer,N/A
Aileen: Life and Death of a Serial Killer,N/A
"Ailes de la colombe, Les",NA
Ailsa,N/A
"Aimants, Les",NA
Aimee Semple McPherson,N/A
Aimez-vous les femmes?,NA
Ain't Misbehavin',N/A
Ain't No Way Back,N/A
Ain't She Sweet,N/A
Ain't She Tweet,N/A
Ain't That Ducky,N/A
Ain't We Got Fun,N/A
Ainsi soient-elles,N/A
Aiqing mala tang,NA
Aiqing wansui,NA
Air,N/A
Air America,N/A
Air Bud,N/A
Air Bud: Golden Receiver,N/A
Air Cadet,N/A
Air Force,N/A
Air Force One,N/A
Air Fright,N/A
Air Hawks,N/A
Air Hostess,N/A
Air Marshal,N/A
Air Raid Wardens,N/A
Air Strike,N/A
"Air Up There, The",N/A
"Air de Paris, L'",NA
"Air de rien, L'",NA
Airbag,N/A
Airborne,N/A
Airborne,N/A
Airboss II: Preemptive Strike,N/A
Airboss III: The Payback,N/A
Aire libre,N/A
Airheads,N/A
Airmail,N/A
"Airman's Letter to His Mother, An",NA
Airplane II: The Sequel,N/A
Airplane!,N/A
Airport,N/A
Airport '77,N/A
Airport 1975,N/A
Airspeed,N/A
Airtime,N/A
Aishite imasu (Mahal kita) 1941,N/A
"Aisiodoxos, O",NA
Aisuru,N/A
Aitanic,N/A
Aitsu to watashi,N/A
Aizea: City of the Wind,N/A
Ajans-E Shisheh-I,NA
Ajantrik,NA
Ajax: Daar hoorden zij engelen zingen,NA
Aje aje bara aje,N/A
Aji,N/A
Ajji appa,N/A
Ajlawju,N/A
Ajnabi,N/A
Ajooba,N/A
Ajutoare umanitare,NA
AkaTaMuS,N/A
Akademiya pana Kleksa,NA
Akage,N/A
Akahige,NA
Akai hashi no shita no nurui mizu,NA
Akai kami no onna,NA
Akai satsui,N/A
Akai tenshi,N/A
Akaler Sandhane,NA
Akame shijuya taki shinju misui,NA
Akarui mirai,NA
Akasen chitai,NA
Akasen tamanoi: Nukeraremasu,NA
Akash Kusum,N/A
Akasha,N/A
Akatsuki no dasso,NA
Akayla,N/A
Akce bororo,NA
Akcija stadion,NA
Akelarre,N/A
Akele Hum Akele Tum,N/A
Akenfield,N/A
Akhalgazrda kompozitoris mogzauroba,NA
Akibiyori,N/A
Akira,N/A
Akitsu onsen,NA
Akkareakkareakkare,NA
Ako-Jo danzetsu,N/A
Akoibon,N/A
Akrebin yolculugu,N/A
"Akrovates tou kipou, Oi",NA
Akseleratka,N/A
Akseli ja Elina,N/A
Aktorzy prowincjonalni,N/A
Aktrisa,N/A
Aku ingin menciummu sekali saja,NA
Akuma no temari-uta,N/A
Akumulator 1,NA
Akuryo-To,N/A
Akwarium,N/A
Al Adamson: Drive-In Monster,N/A
Al Capone,N/A
Al Dente,N/A
Al Jennings of Oklahoma,N/A
Al Lewis in the Flesh,N/A
Al Loves Trees,N/A
Al Qods Fee Yom Akhar,NA
Al este del oeste,N/A
Al filo de la ley,N/A
Al filo del hacha,NA
"Al lupo, al lupo",N/A
Al momento giusto,NA
Al ponerse el sol,NA
Al primo soffio di vento,NA
Al sur de Granada,NA
Al tropico del cancro,NA
Ala-Arriba!,N/A
Alaap,N/A
Alabama's Ghost,N/A
Alabama: 2000 Light Years From Home,NA
Aladdin,N/A
Aladdin & His Magic Lamp,N/A
Aladdin and His Lamp,N/A
Aladdin and His Wonderful Lamp,N/A
Aladin et la lampe merveilleuse,N/A
Aladin ou la lampe merveilleuse,NA
Alaecheung yeojawa wicheung namja,N/A
Alageyik,N/A
Alai Payuthey,N/A
Alaloum,NA
Alambrado,NA
Alambrista!,N/A
Alamo Bay,N/A
"Alamo, The",N/A
"Alamo, The",N/A
Alamo: The Price of Freedom,N/A
Alan & Naomi,"153,146"
"Alan Smithee Film: Burn Hollywood Burn, An",NA
Alanis Morissette: We're with the Band,N/A
Alarium,N/A
Alarm,N/A
Alas de mariposa,N/A
Alas rotas,N/A
Alaska,N/A
Alaska,N/A
Alaska Patrol,N/A
Alaska Seas,N/A
Alaska: Spirit of the Wild,N/A
"Alba, L'",N/A
"Albatros, L'",N/A
Albatross,N/A
"Albero degli zoccoli, L'",NA
"Albero delle pere, L'",NA
Albert,N/A
Albert Pinto Ko Gussa Kyon Ata Hai,N/A
Albert R.N.,NA
Albert souffre,N/A
Alberto Express,N/A
Albino,N/A
Albino Alligator,N/A
Albuquerque,N/A
Alcatraz Avenue,N/A
Alcatraz Island,N/A
"Alchemist, The",N/A
Alchimie,N/A
Alchimiste Parafaragamus ou La cornue infernale,NA
"Alcohol Years, The",N/A
"Alcova, L'",N/A
Alcune signore per bene,N/A
Aldeia da Roupa Branca,N/A
Aldous Huxley: The Gravity of Light,N/A
Alefbay-e afghan,NA
"Alegre divorciado, El",NA
Alegre ma non troppo,N/A
Aleksandr Nevskiy,NA
Aleluia Gretchen,NA
Alert Today - Alive Tomorrow,N/A
Alesha Popovich i Tugarin Zmey,NA
"Aletta Jacobs, het hoogste streven",N/A
Alex,N/A
Alex & Emma,N/A
Alex & the Gypsy,N/A
Alex Holeh Ahavah,NA
Alex in Wonder,N/A
Alex in Wonderland,N/A
Alex l'ariete,N/A
Alex's Apartment,N/A
Alexa,N/A
Alexander,"34,264,081"
Alexander Hamilton,N/A
Alexander the Great,N/A
Alexander's Ragtime Band,N/A
Alexandra,N/A
Alexandra's Project,N/A
Alexandre le bienheureux,NA
Alexandria,N/A
Alexandrie... New York,NA
"Alexandrophagie, L'",NA
Alexei to izumi,NA
Alexis Zorbas,NA
"Alf Garnett Saga, The",N/A
Alf's Button Afloat,N/A
Alfa Tau!,N/A
Alfalfa,N/A
Alferd Packer: The Musical,NA
Alfie,"13,351,235"
Alfie,"13,351,235"
Alfie Darling,N/A
Alfons Zitterbacke,N/A
Alfred Hitchcock's Psycho,N/A
Alfred Stieglitz: The Eloquent Eye,NA
Alfred the Great,N/A
"Alfredo, Alfredo",N/A
Algeria,N/A
Algiers,N/A
Ali,"58,183,966"
Ali Baba,N/A
Ali Baba,N/A
Ali Baba Bunny,N/A
Ali Baba Goes to Town,N/A
Ali Baba and the Forty Thieves,N/A
Ali G Indahouse,N/A
"Ali Zaoua, prince de la rue",NA
Ali-Baba Bound,N/A
Ali-Baba et les quarante voleurs,NA
Alias,NA
Alias,NA
Alias 'La Gringa',N/A
Alias Billy the Kid,N/A
Alias Boston Blackie,N/A
Alias French Gertie,N/A
Alias Jesse James,N/A
Alias Jimmy Valentine,N/A
Alias John Preston,N/A
Alias Nick Beal,N/A
Alias St. Nick,N/A
Alias Will James,N/A
Alias a Gentleman,N/A
Alias the Doctor,N/A
Alias: Slayer,N/A
Alias: The Lost Episode,N/A
Alibaba Aur 40 Chor,N/A
Alibi,N/A
Alibi,N/A
Alibi Bye Bye,N/A
Alibi Ike,N/A
Alibi Racket,N/A
Alibi na vode,NA
Alibi perfetto,NA
"Alibi zerbricht, Ein",NA
"Alibi, L'",N/A
"Alibi, The",N/A
Alice,N/A
Alice,N/A
Alice,N/A
Alice & Viril,N/A
Alice Adams,N/A
Alice Cooper: Welcome to My Nightmare,N/A
Alice Doesn't Live Here Anymore,N/A
Alice Goodbody,N/A
Alice Solves the Puzzle,N/A
Alice et Martin,NA
Alice et moi,NA
Alice in Wonderland,"319,323,000"
Alice in Wonderland,"319,323,000"
Alice in Wonderland,"319,323,000"
Alice in Wonderland,"319,323,000"
Alice in Wonderland,"319,323,000"
Alice in Wonderland,"319,323,000"
Alice in Wonderland,"319,323,000"
Alice the Fire Fighter,N/A
Alice the Toreador,N/A
Alice's Adventures in Wonderland,N/A
Alice's Balloon Race,N/A
Alice's Egg Plant,N/A
Alice's Restaurant,N/A
Alice's Wonderland,N/A
Alicia,N/A
Alicia,N/A
Alicia en el pueblo de maravillas,NA
Alicja,N/A
Alien,N/A
Alien 2 sulla Terra,NA
Alien Abduction,"10,514"
Alien Adventure,N/A
Alien Agenda: Under the Skin,N/A
Alien Blood,N/A
Alien Dead,N/A
"Alien Encounters, The",NA
Alien Escape,N/A
Alien Factor 2: The Alien Rampage,N/A
"Alien Factor, The",N/A
Alien Hunter,N/A
Alien Intruder,N/A
Alien Love Triangle,N/A
Alien Nation,N/A
Alien Predator,N/A
Alien Private Eye,N/A
Alien Seed,N/A
Alien Space Avenger,N/A
Alien Terminator,N/A
Alien Thunder,N/A
Alien Warrior,N/A
Alien Zone,N/A
Alien degli abissi,NA
Alien from L.A.,N/A
Alien: Resurrection,N/A
Alienator,N/A
Aliens,N/A
Aliens,N/A
Aliens From Spaceship Earth,N/A
Aliens in the Wild Wild West,N/A
Aliens of the Deep,"8,261,010"
Aliens: Ride at the Speed of Fright,N/A
Aligato,N/A
"Aliki dictator, I",NA
"Aliki sto Naftiko, I",NA
Alila,N/A
Alimono stous neous,NA
Alison's Birthday,N/A
Alissa,N/A
Alithini zoi,NA
Alive,N/A
Alive,N/A
"Alive Tribe, The",N/A
Alive and Kicking,N/A
Alive: 20 Years Later,N/A
Alkali Ike's Auto,N/A
"Alkali, Iowa",N/A
All Aboard,N/A
All About Annette,N/A
All About Eve,N/A
All About Gloria Leonard,N/A
All About Lurleen,N/A
All About People,N/A
All About You,N/A
All About the Benjamins,"25,482,931"
All Amateur Ecstasy,N/A
All American,N/A
All American Co-Ed,N/A
"All American Fairytale, An",NA
All American Hero,N/A
All Ashore,N/A
All Babes Want to Kill Me,N/A
All Coppers Are...,N/A
All Creatures Great and Small,NA
"All Dogs Christmas Carol, An",NA
All Dogs Go to Heaven,N/A
All Dogs Go to Heaven 2,N/A
All Eyes On Sharon Tate,N/A
All Fall Down,N/A
All Forgotten,NA
All Fowled Up,N/A
All Girl Revue,N/A
All Gummed Up,N/A
All Hands on Deck,N/A
All Hands on Dick,N/A
All I Desire,N/A
All I Want for Christmas,N/A
All In Good Taste,N/A
All Jokes Aside,N/A
All Men Are Mortal,N/A
All Mine to Give,N/A
All My Life,N/A
All My Life,N/A
All My Sons,N/A
All Neat in Black Stockings,N/A
"All New Adventures of Laurel & Hardy: For Love or Mummy, The",N/A
All Night,N/A
All Night Bodega,N/A
All Night Long,N/A
All Night Long,N/A
All Over Again,N/A
All Over Brazil,N/A
All Over Me,N/A
All Over Town,N/A
All Over the Guy,N/A
All Quiet on the Western Front,N/A
All Shook Up,N/A
All Souls' Day,N/A
All Stars,"760,142"
All That Heaven Allows,N/A
All That Jazz,N/A
All That You Love Will Be Carried Away,N/A
All Things Bright and Beautiful,N/A
All This and Rabbit Stew,N/A
All This and World War II,N/A
"All This, and Heaven Too",N/A
All Through the Night,N/A
All Together,"18,495"
All Tomorrow's Parties,N/A
All Water Has a Perfect Memory,N/A
All You Got,N/A
All You Need,N/A
All a Bir-r-r-rd,NA
All by Myself,N/A
All for Mary,N/A
All in a Night's Work,N/A
All in a Nutshell,N/A
All of It,N/A
All of Me,N/A
All of Me,N/A
All of Me,N/A
All the Brothers Were Valiant,N/A
All the Cats Join In,N/A
All the Fine Young Cannibals,N/A
All the Girls I've Loved Before,N/A
All the Great Operas in 10 Minutes,N/A
All the King's Horses,N/A
All the King's Horses,N/A
All the King's Men,N/A
All the Little Animals,N/A
All the Love You Cannes!,N/A
All the President's Men,N/A
All the Pretty Horses,"14,713,716"
All the Queen's Men,N/A
All the Rage,N/A
All the Rage,N/A
All the Real Girls,N/A
All the Right Moves,N/A
All the Right Noises,N/A
All the Stage Is a World,N/A
All the Vermeers in New York,N/A
All the Way Home,N/A
All the Way In!,N/A
All the World's a Stooge,N/A
All the Wrong Places,N/A
All the Young Men,N/A
All'ombra di una colt,NA
All's Fair,N/A
All's Fair at the Fair,N/A
All's Fair in Love & War,N/A
All's Well,N/A
"All-American Alphabet, The",N/A
"All-American Boy, The",N/A
All-American Drawback,N/A
"All-American Girl, The",NA
All-American Girls,N/A
All-American Girls 2: In Heat,NA
All-American Toothache,N/A
"All-Colored Vaudeville Show, An",NA
"All-Star Bond Rally, The",N/A
Alla ricerca del piacere,NA
Alla ricerca dell'impero sepolto,N/A
Alla ricerca di Tadzio,N/A
Alla rivoluzione sulla due cavalli,N/A
Alla vi barn i Bullerbyn,NA
Allan Quatermain and the Lost City of Gold,N/A
Allanamiento de morada,N/A
Alle dagen feest,N/A
Alle tiders kupp,N/A
Allegheny Uprising,N/A
Allegoria,N/A
Allegretto,N/A
Allegro ma non troppo,N/A
Allegro non troppo,N/A
Allegro s ognyom,N/A
Allein,N/A
"Alleinseglerin, Die",N/A
Alleluja e Sartana figli di... Dio,NA
Alleman,N/A
"Allenatore nel pallone, L'",NA
Aller simple pour Manhattan,NA
Allerd Fishbein's in Love,N/A
Allerzielen,NA
Alles Bob!,N/A
Alles auf Anfang,N/A
Alles auf Zucker!,NA
Alles moet weg,NA
Alles nur Tarnung,N/A
Alles wird gut,N/A
Alley Cat,N/A
"Alley Cat, The",N/A
"Alley Cats, The",N/A
Alley Tramp,N/A
Allez France!,NA
Allez Oop,N/A
Alliance cherche doigt,N/A
"Alliance, L'",N/A
Allie & Me,N/A
Alligator,N/A
Alligator Alley,N/A
Alligator Eyes,N/A
Alligator II: The Mutation,N/A
"Alligator Named Daisy, An",NA
"Alligator People, The",N/A
Alligator Shoes,N/A
"Allnighter, The",N/A
Allo Berlin? Ici Paris!,NA
Allonsanfan,N/A
Allos gia to ekatommyrio,N/A
Allotment Wives,N/A
Allotria,N/A
Allotria in Zell am See,N/A
Alluda Mazaaka...!,NA
Allure,"1,918"
Allures,N/A
Alluri Seetharama Raju,N/A
"Allvarsamma leken, Den",NA
"Allvarsamma leken, Den",NA
Allyn McBeal,NA
Allyson Is Watching,N/A
Alma,N/A
Alma Mater,N/A
Alma gitana,N/A
Alma's Rainbow,N/A
Almafuerte,N/A
Almejas y mejillones,NA
"Almendros - Plaza nueva -, Los",NA
Almonds and Raisins,N/A
Almost Angels,N/A
Almost Blue,N/A
Almost Dead,N/A
Almost Famous,"31,716,715"
"Almost Guys, The",N/A
Almost Heroes,N/A
Almost Hollywood,N/A
"Almost Perfect Affair, An",NA
Almost Pregnant,N/A
Almost Salinas,N/A
Almost Summer,N/A
Almost You,N/A
Almost a Gentleman,N/A
Almost an Angel,N/A
Aloha Hooey,N/A
Aloha Summer,N/A
"Aloha, Bobby and Rose",N/A
Aloma of the South Seas,N/A
Alona on the Sarong Seas,N/A
Alone,N/A
Alone Across Australia,N/A
Alone in the Dark,"5,132,655"
Alone in the Dark,"5,132,655"
Alone in the T-Shirt Zone,N/A
Alone in the Woods,N/A
Alone with a Stranger,N/A
Alone. Life Wastes Andy Hardy,N/A
Along Came Auntie,N/A
Along Came Daffy,N/A
Along Came Jones,N/A
Along Came Polly,"87,856,565"
Along Came a Spider,"73,587,034"
Along Flirtation Walk,N/A
Along for the Ride,N/A
Along the Great Divide,N/A
Along the Navajo Trail,N/A
Along the Rio Grande,N/A
Alouette,N/A
"Alouette, je te plumerai",NA
"Alpagueur, L'",NA
Alpha Beta,N/A
Alpha City,N/A
Alpha Dead,N/A
"Alpha Incident, The",N/A
Alphabet City,N/A
Alphabet Soup,N/A
"Alphabet, The",N/A
"Alphonse and Gaston, No. 3",N/A
Alpine Antics,N/A
Alpine Climbers,N/A
Alpine for You,N/A
Alpsee,N/A
"Alquimista impaciente, El",NA
Alraune,N/A
Alraune,N/A
Als Hitchcock in Auerstedt auf Eiermanns Else traf,NA
Als Mutter streikte,NA
Als es Nacht wurde in Deutschland,N/A
Als geheilt entlassen,N/A
Als je begrijpt wat ik bedoel,NA
Als twee druppels water,NA
Alt Heidelberg,N/A
Alt for Egil,NA
Alt for Norge,N/A
Alt for kvinden,N/A
Alt om min far,NA
Altair,N/A
"Alte Affe Angst, Der",NA
Altered Species,N/A
Altered States,N/A
"Alternate, The",N/A
"Alternative Miss World, The",N/A
Alternative Therapy,N/A
Altovaya sonata. Dmitriy Shostakovich,N/A
"Altr'anno e poi cresco, Un",NA
"Altra vita, Un'",NA
Altri tempi,N/A
Altri uomini,N/A
Altrimenti ci arrabbiamo,NA
"Altro inferno, L'",NA
Altyn Kyrghol,N/A
"Alucarda, la hija de las tinieblas",NA
Alvarez Kelly,N/A
Alvin Purple,NA
Alvin Purple Rides Again,NA
Always,N/A
Always,N/A
Always Crashing in the Same Car,N/A
Always Goodbye,N/A
Always Late,N/A
Always Leave Them Laughing,N/A
Always Say Goodbye,N/A
Always Something Better,N/A
Always Together,N/A
Always a Bride,N/A
Always a Bride,N/A
Always a Bridesmaid,N/A
Always for Pleasure,N/A
Always in My Heart,N/A
Alye parusa,N/A
Alyonka,N/A
Am I Normal?: A Film About Male Puberty,N/A
Am See,N/A
Am Tag als Bobby Ewing starb,N/A
"Am Tag, als der Regen kam",NA
Amadeus,N/A
Amalfi Way,N/A
Amanda by Night,N/A
Amandla! A Revolution In Four Part Harmony,N/A
"Amanece, que no es poco",N/A
"Amant de cinq jours, L'",NA
"Amant de poche, L'",NA
"Amant, L'",N/A
Amante Muito Louca,N/A
"Amante del vampiro, L'",NA
"Amante di Gramigna, L'",NA
"Amante di Paride, L'",NA
"Amante perduto, L'",NA
Amantes,NA
"Amantes del diablo, Las",NA
Amanti,N/A
"Amanti d'oltretomba, Gli",NA
Amantide - Scirocco,NA
"Amants criminels, Les",NA
"Amants de Montparnasse (Montparnasse 19), Les",NA
"Amants de Teruel, Les",NA
"Amants du Nil, Les",NA
"Amants du Pont-Neuf, Les",NA
"Amants du Tage, Les",NA
Amants et voleurs,N/A
"Amants, Les",NA
Amar,N/A
Amar Akbar Anthony,N/A
Amar te duele,N/A
Amaram,N/A
Amarcord,N/A
Amarelo manga,NA
Amargosa,N/A
Amarillo by Morning,N/A
Amarilly of Clothes-Line Alley,N/A
Amarsi un po',N/A
Amasian: The Amazing Asian,N/A
Amateur,N/A
Amateur Hour,NA
"Amateur, El",NA
"Amateur, The",N/A
"Amateurs, Les",NA
"Amati Girls, The",N/A
Amato: A Love Affair with Opera,N/A
Amator,N/A
"Amaxaki, To",NA
"Amazing Adventures of Spider-Man, The",N/A
"Amazing Colossal Man, The",N/A
"Amazing Dobermans, The",N/A
"Amazing Dr. Clitterhouse, The",N/A
Amazing Grace,"21,156,133"
Amazing Grace and Chuck,N/A
